character,translation
曲,song
案,case
投,cast
稳,stable
敝,our
描,describe
畜,livestock
款,payment
窒,suffocate
矮,short
卵,egg
蹿,jump up
隐,hidden
盔,helmet
爽,Cool
传,pass
喏,here
舵,rudder
益,beneficial
爱,Love
远,Far
择,select
澪,Mio
划,Draw
瓢,ladle
侣,companion
思,think
齿,tooth
粑,cake
抿,sip
枯,withered
琼,Joan
鲨,shark
握,grip
肤,skin
嚏,sneeze
褶,pleats
刻,carve
纺,spin
秃,bald
痕,mark
博,Bo
镬,wok
泊,moor
娱,entertainment
染,dye
掸,dust off
蛰,sting
囔,groan
谣,rumor
烦,bother
楷,regular script
额,Forehead
咸,salty
柩,bier
瘫,paralyzed
葱,onion
窥,peep
枕,pillow
锚,anchor
录,record
墓,tomb
芋,taro
囚,Prisoners
疆,frontier
镇,town
吝,stingy
卜,predict
椿,Tsubaki
鹿,deer
哆,duo
胜,win
评,comment
捆,bundle
拧,screw
柄,handle
焊,weld
另,Other
市,city
勾,hook
踹,kick
轨,rail
旬,ten days
穆,Mu
尝,taste
乒,ping
损,damage
蚀,eclipse
云,cloud
钟,bell
搏,fight
琐,petty
肚,tripe
瑟,se
洼,depression
奈,Chennai
弈,game
幸,fortunate
牵,hold
灸,Moxibustion
姻,marriage
导,guide
吧,Bar
陌,street
质,quality
答,answer
嫂,sister-in-law
逻,logic
甭,Say nothing
削,cut
腱,tendon
男,male
蔡,Tsai
承,bear
擒,capture
哀,sorrow
诧,surprised
关,close
莹,Ying
牙,tooth
弛,relax
哗,Wow
破,break
流,flow
姊,Sister
驽,dull
搅,stir
珂,Ke
畅,smooth
帽,cap
胚,Embryo
翅,wing
峡,gorge
裴,Bae
泰,Thai
舀,scoop
致,To
啸,whistling
炒,saute
溺,drown
屠,Butcher
镖,dart
扦,stick in
面,noodle
愧,ashamed
颠,upside down
捎,take along
崩,collapse
卖,Sell
萌,cute
凄,sad
欣,enjoy
薏,Job's tears
町,town
汕,Shantou
妮,Ni
翼,wing
衿,lapel
副,vice
多,many
困,Sleepy
骄,arrogant
胀,swelling
措,measures
济,economy
营,camp
会,meeting
朽,rotten
殖,breed
俭,frugal
懵,stupid
汞,HG
琪,Qi
空,null
革,leather
乍,first
秒,second
闸,brake
妳,you
昧,Ambiguous
炬,torch
绳,rope
掺,mix
韦,Wei
缕,thread
么,What?
引,lead
暮,twilight
茧,cocoon
嚼,chew
还,return
缅,Myanmar
陨,fall from the sky
邓,Deng
斯,Si
卯,Mao
陵,mausoleum
咏,chant
腓,Phillips
援,aid
肿,swell
溪,creek
础,foundation
鞍,saddle
宁,rather
浜,bang
吵,Quarrel
庚,Geng
干,Dry
呃,Uh
日,day
山,Mountain
奸,evil
栋,Building
沓,again and again
祥,auspicious
丹,Dan
疡,ulcer
剪,Cut
畔,by the side
卞,Bian
赦,amnesty
跷,seesaw
乘,take
翔,Xiang
蝎,scorpion
霉,mold
漠,desert
相,Mutually
站,stand
玺,Xi
括,include
妇,woman
沾,stick
憋,hold back
型,type
珞,Luo
鱿,squid
嵌,embedded
叔,uncle
斟,to pour
骸,skeleton
憾,regret
淌,drip
安,install
剐,cut
蹦,jump
妓,prostitute
自,since
烬,ember
凋,withered
镜,mirror
晨,morning
丢,leave
祛,remove
帕,Pa
痛,pain
窠,nest
亲,Dear
颤,trembling
防,Defend
枫,maple
秀,show
厢,box
戎,Rong
衫,shirt
幡,banner
预,in advance
糜,Mi
钮,button
左,left
潮,tide
于,At
促,promote
孚,Fu
嗙,snort
史,history
滕,Teng
书,Book
归,return
衍,Derived
欸,Eh
转,change
剧,drama
敲,knock
成,to make
粉,pink
嗄,Ah
擤,blow
噘,pout
晚,Night
睾,Testosterone
李,plum
榛,hazel
耽,delay
妄,delusional
攥,grip
箩,the basket
据,according to
走,Walk
烛,candle
待,treat
袄,jacket
赋,give
林,Forest
止,end
肴,meat dish
肝,liver
僧,monk
茫,vast
靥,dimple
郎,Lang
缓,slow
启,start
昱,Yu
搀,mix
街,street
类,kind
仔,young
劝,advise
加,add
虹,rainbow
补,repair
矿,mine
纨,white silk
泷,Taki
剑,sword
坡,slope
馊,rancid
脾,spleen
跨,across
栈,the stack
栗,chestnut
恢,restore
糗,embarrassment
铁,iron
绕,around
次,Second-rate
坪,Ping
勇,brave
淮,Huai
秽,dirty
雇,hire
鼓,drum
炖,stew
工,work
狗,dog
村,village
撞,Collide
瘪,deflated
眸,eye
银,silver
骆,Luo
载,load
刑,punishment
灯,lamp
彰,show off
籽,seed
嗒,despair
噩,startling
晖,Fai
求,beg
拴,tied
集,set
地,land
贷,loan
肘,elbow
阎,Yan
育,education
默,silent
宋,song
卷,roll
象,elephant
列,List
潜,latent
琢,cut
翱,soar
代,generation
咂,suck
道,road
审,trial
隋,sui
县,county
拇,thumb
备,prepare
裔,descent
桨,paddle
烫,hot
蕴,Yun
堡,fort
吞,swallow
壳,shell
趁,take advantage of
黄,yellow
醉,drunk
饱,full
岗,Hill
万,Ten thousand
嗲,whine
竭,exhaust
朝,towards
蓄,save
途,way
九,Nine
皆,all
嫌,dislike
鉴,learn from
螺,screw
胁,threat
鼠,mouse
只,Only
邑,Yap
烩,braise
孩,child
期,Expect
璐,Lu
旗,flag
透,through
靴,boots
庞,Pang
战,war
挠,scratch
屑,crumbs
夜,night
姚,Yao
羞,shame
痨,tuberculosis
屹,Yi
瘦,thin
办,manage
佳,good
织,to weave
扶,help
丰,rich
倍,times
诉,v.
蜕,slough
蔑,smear
泼,splash
咀,Tsui
璜,Juan
毗,adjoin
呜,Woo
统,system
苦,bitter
沥,Leak
颊,cheek
您,you
利,profit
惟,but
摇,shake
猎,hunting
儒,Confucianism
放,put
概,roughly
荷,charge
锹,shovel
到,arrive
恙,ailment
缴,pay
薄,Thin
卸,unload
奄,suddenly
涌,Chung
巨,huge
短,short
杵,pestle
氏,Shi
梯,ladder
龚,gong
习,habit
嗽,cough
呓,Raving
废,waste
褐,brown
度,Spend
肾,kidney
国,country
弥,Mi
穴,hole
葬,burial
隶,scribe
汽,steam
谏,admonish
盯,stare
领,collar
冻,freeze
雄,male
激,exciting
诀,tactic
撤,withdraw
举,raise
槌,hammer
礼,present
才,talent
腔,Cavity
系,Tie
怪,Strange
眉,eyebrow
迦,Jia
棕,brown
刷,brush
罄,exhausted
嚣,clamor
显,show
的,of
罐,Can
换,Change
独,alone
娴,Xian
灭,off
凭,by
钓,to fish
弟,younger brother
脑,brain
彩,color
烙,burn
蛊,insanity
呦,Yo
淫,kinky
脖,neck
稀,dilute
怡,Yee
